test_index,true_label,disagreement,cluster_0,cluster_1,cluster_2
1687,1,0.27445812621843685,0.7137402751529537,0.665289647466248,0.43928214893451684
1716,1,0.2486274563628197,0.83722613051951,0.8185325431150721,0.5885986741566903
890,1,0.24593709960984506,0.6465516574092599,0.685928074422703,0.4399909748128579
23,0,0.2419835849022376,0.7772797407022505,0.7669712980629693,0.5352961558000129
356,1,0.23820895740479286,0.7735051132048057,0.7627056915001224,0.5352961558000129
1525,1,0.23184509537473585,0.8204437695314262,0.7988472698301292,0.5885986741566903
684,1,0.22911881357357256,0.7630001991604788,0.7558611679169498,0.5338813855869062
1100,1,0.21709751326441684,0.46343198512340633,0.4656971664660877,0.6805294983878232
437,0,0.21699378735738295,0.3758326653584701,0.35510273812116433,0.5720965254785473
338,0,0.21685611744460032,0.6367267558321782,0.6543180133024792,0.43746189585787887
1417,1,0.21545457448255523,0.8307983223009314,0.7971638780036668,0.6153437478183762
102,1,0.21164427836913635,0.8336379501000946,0.7973747031845522,0.6219936717309582
1742,0,0.2109916350611976,0.3920391183491239,0.39587949442541515,0.6030307534103215
487,0,0.2094938068168989,0.36627191901775136,0.39994589756675547,0.5757657258346502
629,0,0.20486436237363137,0.3709013634610189,0.39472183457506516,0.5757657258346502
407,1,0.20391357066513305,0.6222399098640122,0.6279568453245032,0.4240432746593702
40,0,0.20243708400028948,0.7119014883674663,0.7073903382772775,0.5094644043671768
475,0,0.19745055045317864,0.1529623714305556,0.16210226673224126,0.35041292188373424
1313,1,0.19634408598053715,0.559623990141537,0.5409704389086545,0.3632799041609998
1252,0,0.19634408598053715,0.559623990141537,0.5409704389086545,0.3632799041609998
1264,0,0.19294101055717228,0.12137331360348229,0.14532349970115255,0.3143143241606546
1546,1,0.19188877018817152,0.44684791506613303,0.4123726022621049,0.6042613724502764
258,0,0.19114897109176923,0.23289430356760096,0.29762927309555204,0.4240432746593702
269,0,0.19037024005127207,0.23367303460809813,0.29783727984284536,0.4240432746593702
1064,0,0.18882159011988858,0.5232931284484144,0.4914918505777242,0.6803134406976128
745,1,0.1884733506406785,0.6961892584718687,0.6717488965223966,0.5077159078311902
110,1,0.1878402363382089,0.9104096822831405,0.9086400958878612,0.7225694459449316
596,1,0.18763736673741938,0.8666689635482446,0.8949600667191205,0.7073226999817012
1590,0,0.1856703435012021,0.4733599354260933,0.4365014510574707,0.6221717945586728
9,0,0.1855223032421145,0.6828035928720413,0.6644074462181468,0.4972812896299268
1198,1,0.18326041209082067,0.8961372849103384,0.9058298580357522,0.7225694459449316
482,1,0.18208807361329016,0.7556733312425615,0.7336074064830355,0.5735852576292714
1062,1,0.1816712294463365,0.8795789451496472,0.8523116432250268,0.6979077157033107
777,1,0.18133104990144888,0.7200668706607946,0.6623427552835928,0.5387358207593457
493,1,0.17905370313064917,0.5682351803685476,0.588155872438796,0.4091021693081468
1606,1,0.17905370313064917,0.5682351803685476,0.588155872438796,0.4091021693081468
1132,1,0.17734501746220976,0.8250689646898228,0.8037102066055346,0.6477239472276131
984,1,0.17726726331475628,0.330145654810387,0.2876543259377445,0.46492158925250077
1491,1,0.1770204777804124,0.8714025219654488,0.8671417382935536,0.6943820441850364
775,0,0.1770092862528601,0.4164674888650271,0.4308184445089585,0.5934767751178872
241,1,0.17574418540542414,0.8780252083308482,0.8691413955360207,0.702281022925424
530,0,0.1754173743870335,0.13747428778646328,0.18188866583991142,0.3128916621734968
1715,1,0.17482009397810855,0.4293693257382351,0.43792805594810147,0.6041894197163437
601,0,0.17417137131348925,0.5984480672374152,0.6264763398814968,0.4523049685680075
1840,0,0.17323223759892453,0.1742119266910211,0.1599563094174844,0.33318854701640893
1805,0,0.1727050386746688,0.8749860616000928,0.8655227149310072,0.702281022925424
1469,0,0.16914513879795523,0.5807453897110457,0.5741278389824296,0.4116002509130905
1026,0,0.16891909820319922,0.14397256397029756,0.18202096457534245,0.3128916621734968
1251,1,0.16851935907732113,0.6176913644429592,0.6350829771461984,0.4665636180688773
831,1,0.16850648302937238,0.311719930857628,0.37403252008999643,0.4802264138870004
992,1,0.16820336019647952,0.7069391809558252,0.6580227604744784,0.5387358207593457
28,1,0.16810000430563632,0.46633349451732076,0.48451461288888586,0.6344334988229571
1517,0,0.16774450842873376,0.14514715374476303,0.18030743495935353,0.3128916621734968
387,1,0.16746401646214626,0.8697450393875703,0.8694823371432335,0.702281022925424
1410,0,0.16727660001167866,0.5388213698521729,0.5846752468107052,0.7060979698638515
522,0,0.16661337141017346,0.4394727564138414,0.42035965703894357,0.27285938500366796
944,0,0.16653890961589124,0.520171214507183,0.5387719154524224,0.6867101241230742
1613,0,0.16632172714987337,0.6542774504581738,0.643405005997752,0.4879557233083004
1537,1,0.16594394795309853,0.7046797687124442,0.6693405046747821,0.5387358207593457
1683,1,0.16577265531058816,0.9364627309455347,0.9324094046555119,0.7706900756349465
1160,0,0.1652667884991013,0.5170411266203107,0.5111898824819496,0.35177433812120934
1818,1,0.164248880011371,0.6279532243814924,0.6360506761215672,0.4718017961101962
